,title,description,title_label,description_label
10, 기업의 아메리칸 드림   하드웨어 에 답 있다 ,글로벌 시장조사기관  스태티스타 에 따르면 실리콘밸리 내  빅데이터  솔루션 유니콘 기업의 수익률은 연평균  에 가까운 성장률을 보이고 있다  이 같은 산업 발전 흐름은 미국 기업뿐만 아니라 전 세계  ,1,1
11, 기고   빅데이터  활용 위한 경기도 통합데이터센터 구축 필요,이처럼 우리 사회 곳곳에 스며든  산업  그 기반에는  데이터 가 있다 년  월  공공 데이터 의 제공 및 이용 활성화에 관한 법률 이하 공공 데이터 법 이 국회 본회의를 통과했다  약  년 뒤  데이터  산업진흥 및  ,0,1
12, 미리보는 이데일리 신문 환자 의사 플랫폼 모두 속터지는 비대면진료,이자부담 어쩌나  손보사 빅  상반기 차보험 손해율  대 선방  금융공공 데이터  개방  년 조회수  위  기업재무정보   카드  우즈베키스탄 진출 스탄  국가 진출 시동  글로벌  고물가 고령화에 유럽은  ,0,1
13, 년 전라북도 성장사다리기업 최고경영자 혁신포럼 개최,전 박사는  챗  이해와 전망 이라는 주제로  차 산업혁명 대비를 위해  빅데이터  기반 인공지능을 활용한 챗 의 개념과 전망에 대한 강연을 진행했다  강연 이후 도는 올해 성장사다리 신규지정 기업  개 사에 지정서가  ,1,1
14, 돈 아끼려고 이런 짓을 미국 발칵 뒤집은 독성 케이블  후폭풍 ,이날 시티그룹은   프론티어 커뮤니케이션  텔레폰 앤드  데이터  시스템스  등 통신업체의  최원석 신한투자증권 연구원은  중국 정부의 디지털 인프라 구축 및  데이터  자원 관리에 강점을 지닌 국유  ,0,0
15, 직장인들 홀딱 반했다 국밥 찾던  도 돌변하게 만든 음식  여기잇슈 , 국민카드가 매출  빅데이터 를 이용해 서울 및 수도권의 주요 업무지구 인근 지하철에 하차한 자사 고객의 올해  월 점심 시간대 시 오후  시 의 카드 이용 현황을 조사한 결과  이 기간 직장인들의 점심시간 이용액이  ,1,0
16,고창군 베리 바이오식품연구소  김치산업 본격 진출, 단계로 인공지능 빅데이터  기반 푸드테크 도입으로 개인맞춤형 김치와 글로벌 시장 진출을 위한 연구개발 및 생산  마케팅 전략으로 한 단계 더 도약할 전망이다  베리 바이오식품연구소 이사장 심덕섭 군수는  ,0,0
17, 축산 데이터  기반 소통 협력 혁신행정 선도 ,축산물품질평가원 원장 박병홍 은 지난  일 세종시 본원에서 축산 데이터  활용 활성화를 위한  축산 데이터  기반의 축산유통서비스 선도기관  비전 선포식을 개최했다  이날 행사에는 축평원 임직원이 참석해 축산분야의  ,1,0
18, 광주창조경제혁신센터       임관섭 리더스오브그린소사이어티 대 ,또 한 가지는 데이터를 꼽을 수 있겠다  현재 미국 런던 암스테르담 등에서는 대중이 친환경 일상을 어떻게 보내는지에 대한 사진 데이터를  빅데이터  분석    학습을 통해 전략을 세우는 데 활용하고 있다  친환경  ,1,1
19,전북 성장사다리기업 최고경영자 한자리,이날 포럼에서는 전 성균관대학교 산학교수 전윤호 박사의  챗  이해와 전망 이라는 주제로  차 산업혁명 대비를 위해  빅데이터  기반 인공지능을 활용한 챗 의 개념과 전망에 대한 강연도 이어졌다  김종훈 전북도  ,1,1
20,중 저신용자 비율 맞추려 고신용자 대출 잠그는 인뱅, 빅데이터  등의 혁신적인 방식으로 기존 금융권에서 소외되었던 중 저신용자 대상 대출을 적극적으로 해나가는 것이 인터넷전문은행이 설립 조건이었던 셈이다  중 저신용자 대상 신용대출 비중은 전체 가계대출 대비  ,0,1
21,한국 낸드플래시 적자 쌓이는데 세계  위 위 합병 추진,상태에서도 데이터가 계속 저장되는 플래시 메모리다  주로 스마트폰 의 주저장 장치로 활용되며 사물인터넷   빅데이터  인공지능 의 개발과 함께 수요가 증가하고 있다   년 삼성전자가 일본 도시바로부터  ,1,0
22, 취임  년  박성효  소상공인 시장 위기 극복 ,오는  년까지 소상공인을 위한  빅데이터  플랫폼 구축에도 나섭니다  이를 통해 상권이나 경쟁점포  매출액과 같은 정보를 받을 수 있게 전망입니다 또 소진공은 같은 기간 디지털 전통시장을  개까지 늘리고 전국의  ,1,1
23, 데이터 기반 스마트농업 촉진 정보교류 활성화  맞손 ,농촌진흥청 디지털농업추진단과 팜식스플러스는 지난  일 경북 김천시 팜식스플러스에서  데이터 기반 디지털농업 분야 상호발전을 위한 농업 데이터  활용 협력 에 관한 업무협약 을 체결했다  양기관은 이번  ,0,0
24,유클리드   억년 전 우주에서 암흑물질의 비밀 찾아낼까  황정아의 우주적  ,유클리드 우주망원경은 올해  월 첫 이미지를 내놓을 예정이며  주요 관측  데이터  공개는  년   년  우주의 기원을 밝히고  생명의 근원에 대한  빅  퀘스천 을 찾기 위한 우주망원경의 여정은 앞으로도 계속될  ,0,1
25,동원과학기술대   교육과정 인증제 혁신을 통한 현장 중심 창의 융합적인 인재 ,최근 수년 동안 인공지능 과  빅데이터    사물인터넷  등 신기술 분야가 각광을 받으며 관련 학과가 신설됐다면  최근에는 학문간 학제간 전공간 융합하는 교육이 활발히 진행되고 있다  기존 전공과  ,1,0
26, 단독   엔솔이 뭘 봤길래 돈을 스타트업 찾아다니며 지분 투자,원프레딕트는  빅데이터 와   알고리즘을 활용한 설비 데이터를 분석해 현재 상태를 진단한다  원프레딕트의 기술을 활용하면 설비의 고장을 예방해 불필요한 비용을 줄일 수 있다   에너지솔루션은 데이터 분석  ,0,0
27, 빅데이터 속 개인정보는  삭제  인천에 가명정보활용지원센터, 개인정보보호위원회 제공  인천 가명정보 활용 지원센터 가  일 송도 미추홀타워에 문을 열었다 가명정보란  데이터  속에 포함된 개인정보 일부를 삭제 대체해 해당  데이터 가 누구의 것인지 모르도록 처리한 것을  ,0,0
28,동양미래대   실용기술 중심 프로젝트식 교육 추구 전문성 인성 사회성 갖춘 , 차년도에는 인공지능 소프트웨어학과   빅데이터 공학과 등 첨단학과 신설 및 마이크로전공트랙 제도를 개편함과 동시에 교육목표를 달성하기 위해 습실 환경 개선  기자재 및 재료 지원  교수 대상의 교수법과  ,0,0
29,엔비디아 독주 막는다 차세대  반도체 개발에  드림팀 뜬다 미래기술 ,블록이나  데이터  패스를 포함하고 있다 며  성능개선의 여지가 있고 전력 면에서도 불필요한 소모가 있다 고 지적했습니다    알고리즘에 최적화된 고속  데이터  전송 구조 설계를 바탕으로  전용 반도체가  ,0,0
